focal_work_id,focal_author_id,path_type,prior_work_id,prior_author_id,prior_journal_id,prior_parent_publisher_id,prior_date
W2119408773,A5014662947,journal,W2145809663,A5014662947,S155526855,P4310320244,2015-02-23
W2119408773,A5014662947,coauthor,W2145809663,A5100701572,S155526855,P4310320244,2015-02-23
W2119408773,A5100701572,journal,W2145809663,A5100701572,S155526855,P4310320244,2015-02-23
W2119408773,A5100701572,coauthor,W2145809663,A5014662947,S155526855,P4310320244,2015-02-23
W2119408773,A5101635405,coauthor,W2145809663,A5014662947,S155526855,P4310320244,2015-02-23
W2119408773,A5101635405,coauthor,W2145809663,A5100701572,S155526855,P4310320244,2015-02-23
W2119408773,A5103661051,coauthor,W2145809663,A5014662947,S155526855,P4310320244,2015-02-23
W2119408773,A5103661051,coauthor,W2145809663,A5100701572,S155526855,P4310320244,2015-02-23
W2119408773,A5107234003,coauthor,W2145809663,A5014662947,S155526855,P4310320244,2015-02-23
W2119408773,A5107234003,coauthor,W2145809663,A5100701572,S155526855,P4310320244,2015-02-23
W2247926630,A5023342042,journal,W1997779689,A5023342042,S178776955,P4310315679,2015-03-20
W2247926630,A5023342042,coauthor,W1997779689,A5038830874,S178776955,P4310315679,2015-03-20
W2247926630,A5023342042,coauthor,W1997779689,A5082737646,S178776955,P4310315679,2015-03-20
W2247926630,A5023342042,coauthor,W1997779689,A5083002246,S178776955,P4310315679,2015-03-20
W2247926630,A5038830874,journal,W1997779689,A5038830874,S178776955,P4310315679,2015-03-20
W2247926630,A5038830874,coauthor,W1997779689,A5023342042,S178776955,P4310315679,2015-03-20
W2247926630,A5038830874,coauthor,W1997779689,A5082737646,S178776955,P4310315679,2015-03-20
W2247926630,A5038830874,coauthor,W1997779689,A5083002246,S178776955,P4310315679,2015-03-20
W2247926630,A5082737646,journal,W1997779689,A5082737646,S178776955,P4310315679,2015-03-20
W2247926630,A5082737646,coauthor,W1997779689,A5023342042,S178776955,P4310315679,2015-03-20
W2247926630,A5082737646,coauthor,W1997779689,A5038830874,S178776955,P4310315679,2015-03-20
W2247926630,A5082737646,coauthor,W1997779689,A5083002246,S178776955,P4310315679,2015-03-20
W2247926630,A5083002246,journal,W1997779689,A5083002246,S178776955,P4310315679,2015-03-20
W2247926630,A5083002246,coauthor,W1997779689,A5023342042,S178776955,P4310315679,2015-03-20
W2247926630,A5083002246,coauthor,W1997779689,A5038830874,S178776955,P4310315679,2015-03-20
