author_id,journal_id,n_papers,topic_match_intra,work_ids
https://openalex.org/A5048223855,https://openalex.org/S190629608,11,0.7786,https://openalex.org/W2725188468;https://openalex.org/W2751766815;https://openalex.org/W3156142979;https://openalex.org/W2908959496;https://openalex.org/W2739200628;https://openalex.org/W2411453843;https://openalex.org/W2905816463;https://openalex.org/W2529999104;https://openalex.org/W2582017947;https://openalex.org/W2940772039;https://openalex.org/W4378906427
https://openalex.org/A5048223855,https://openalex.org/S4210192031,7,0.7806,https://openalex.org/W4399492875;https://openalex.org/W4297477317;https://openalex.org/W3205528911;https://openalex.org/W3150346602;https://openalex.org/W4381572609;https://openalex.org/W4283823155;https://openalex.org/W4405722549
https://openalex.org/A5048223855,https://openalex.org/S4210173132,13,0.7096,https://openalex.org/W3133932862;https://openalex.org/W4385343441;https://openalex.org/W3194046117;https://openalex.org/W4387024385;https://openalex.org/W4390467714;https://openalex.org/W4399179674;https://openalex.org/W4281736224;https://openalex.org/W2916894366;https://openalex.org/W4389991944;https://openalex.org/W4319000683;https://openalex.org/W2942584594;https://openalex.org/W4400009188;https://openalex.org/W4382447797
https://openalex.org/A5048223855,https://openalex.org/S4210205812,2,0.824,https://openalex.org/W3083456615;https://openalex.org/W4383818068
https://openalex.org/A5048223855,https://openalex.org/S4210219776,3,0.8188,https://openalex.org/W2743714710;https://openalex.org/W2746966637;https://openalex.org/W2757947813
https://openalex.org/A5089170562,https://openalex.org/S2737955091,34,0.7305,https://openalex.org/W2936503027;https://openalex.org/W3094948551;https://openalex.org/W3020873385;https://openalex.org/W3200552577;https://openalex.org/W4317040541;https://openalex.org/W4376504082;https://openalex.org/W4381542508;https://openalex.org/W4390511453;https://openalex.org/W2964551072;https://openalex.org/W4384521853;https://openalex.org/W3033637419;https://openalex.org/W4387578673;https://openalex.org/W2913149476;https://openalex.org/W2395579298;https://openalex.org/W2118023920;https://openalex.org/W3176923149;https://openalex.org/W2899434936;https://openalex.org/W2758375579;https://openalex.org/W2892312135;https://openalex.org/W2990580840;https://openalex.org/W2962200422;https://openalex.org/W4292974997;https://openalex.org/W4364361380;https://openalex.org/W4387458479;https://openalex.org/W4390547629;https://openalex.org/W2603666613;https://openalex.org/W2919984788;https://openalex.org/W2965813329;https://openalex.org/W3083683925;https://openalex.org/W2966217148;https://openalex.org/W4392617925;https://openalex.org/W4381251322;https://openalex.org/W3013997935;https://openalex.org/W3164313670
https://openalex.org/A5074629800,https://openalex.org/S4210205812,5,0.7316,https://openalex.org/W3199146084;https://openalex.org/W3017305345;https://openalex.org/W4293413411;https://openalex.org/W4306362420;https://openalex.org/W4220949780
https://openalex.org/A5074629800,https://openalex.org/S2764955546,3,0.5772,https://openalex.org/W4220956908;https://openalex.org/W4386170381;https://openalex.org/W4402127652
https://openalex.org/A5074629800,https://openalex.org/S4210178049,6,0.7026,https://openalex.org/W4220970138;https://openalex.org/W3195105121;https://openalex.org/W4316039122;https://openalex.org/W4311376210;https://openalex.org/W4386292370;https://openalex.org/W4311783760
https://openalex.org/A5074629800,https://openalex.org/S2485537415,12,0.6756,https://openalex.org/W4402773186;https://openalex.org/W4296473275;https://openalex.org/W4386825037;https://openalex.org/W4396754444;https://openalex.org/W4385338656;https://openalex.org/W4391984060;https://openalex.org/W4386524157;https://openalex.org/W3164947024;https://openalex.org/W4205951200;https://openalex.org/W3167335427;https://openalex.org/W4395661523;https://openalex.org/W4205363784
